Datum,Check-in,Vertrek,Check-uit,Bestemming,Bedrag,Transactie,Klasse,Product,Opmerkingen
05-10-2016,,Broek op Langedijk Laansloot,14:06,Alkmaar Station,,Check-uit,,Studenten Weekabon vrij Reizen (2e klas),
05-10-2016,14:06,Alkmaar,,,,Check-in,,Studenten Weekabon vrij Reizen (2e klas),
05-10-2016,,Alkmaar,14:48,Amsterdam Centraal,,Check-uit,,Studenten Weekabon vrij Reizen (2e klas),
05-10-2016,14:50,Centraal Station,,,,Check-in,,Studenten Weekabon vrij Reizen (2e klas),
05-10-2016,,Centraal Station,14:58,Weesperplein,,Check-uit,,Studenten Weekabon vrij Reizen (2e klas),
05-10-2016,18:33,Weesperplein,,,,Check-in,,Studenten Weekabon vrij Reizen (2e klas),
05-10-2016,,Weesperplein,18:40,Centraal Station,,Check-uit,,Studenten Weekabon vrij Reizen (2e klas),
05-10-2016,18:42,Amsterdam Centraal,,,,Check-in,,Studenten Weekabon vrij Reizen (2e klas),
05-10-2016,,Amsterdam Centraal,19:36,Alkmaar,,Check-uit,,Studenten Weekabon vrij Reizen (2e klas),
05-10-2016,19:47,Alkmaar,,,,Check-in,,Studenten Weekabon vrij Reizen (2e klas),
05-10-2016,,Alkmaar,19:47,Alkmaar,,Check-uit,,Studenten Weekabon vrij Reizen (2e klas),
05-10-2016,19:55,Alkmaar Station,,,,Check-in,,Studenten Weekabon vrij Reizen (2e klas),
05-10-2016,,Alkmaar Station,20:10,Broek op Langedijk Laansloot,,Check-uit,,Studenten Weekabon vrij Reizen (2e klas),
06-10-2016,07:27,Broek op Langedijk Laansloot,,,,Check-in,,Studenten Weekabon vrij Reizen (2e klas),
06-10-2016,,Broek op Langedijk Laansloot,07:41,Alkmaar Station,,Check-uit,,Studenten Weekabon vrij Reizen (2e klas),
06-10-2016,07:41,Alkmaar,,,,Check-in,,Studenten Weekabon vrij Reizen (2e klas),
06-10-2016,,Alkmaar,08:37,Amsterdam Centraal,,Check-uit,,Studenten Weekabon vrij Reizen (2e klas),
06-10-2016,08:38,Centraal Station,,,,Check-in,,Studenten Weekabon vrij Reizen (2e klas),
06-10-2016,,Centraal Station,08:45,Weesperplein,,Check-uit,,Studenten Weekabon vrij Reizen (2e klas),
06-10-2016,14:52,Weesperplein,,,,Check-in,,Studenten Weekabon vrij Reizen (2e klas),
06-10-2016,,Weesperplein,15:02,Centraal Station,,Check-uit,,Studenten Weekabon vrij Reizen (2e klas),
06-10-2016,15:04,Amsterdam Centraal,,,,Check-in,,Studenten Weekabon vrij Reizen (2e klas),
06-10-2016,,Amsterdam Centraal,15:46,Alkmaar,,Check-uit,,Studenten Weekabon vrij Reizen (2e klas),
06-10-2016,15:48,Alkmaar,,,,Check-in,,Studenten Weekabon vrij Reizen (2e klas),
06-10-2016,,Alkmaar,15:58,Heerhugowaard,,Check-uit,,Studenten Weekabon vrij Reizen (2e klas),
10-10-2016,10:15,Broek op Langedijk Laansloot,,,,Check-in,,Studenten Weekabon vrij Reizen (2e klas),
10-10-2016,,Broek op Langedijk Laansloot,10:26,Alkmaar Station,,Check-uit,,Studenten Weekabon vrij Reizen (2e klas),
10-10-2016,10:27,Alkmaar,,,,Check-in,,Studenten Weekabon vrij Reizen (2e klas),
10-10-2016,,Alkmaar,11:21,Amsterdam Centraal,,Check-uit,,Studenten Weekabon vrij Reizen (2e klas),
10-10-2016,11:22,Centraal Station,,,,Check-in,,Studenten Weekabon vrij Reizen (2e klas),
10-10-2016,,Centraal Station,11:30,Weesperplein,,Check-uit,,Studenten Weekabon vrij Reizen (2e klas),
10-10-2016,14:29,Weesperplein,,,,Check-in,,Studenten Weekabon vrij Reizen (2e klas),
10-10-2016,,Weesperplein,14:37,Centraal Station,,Check-uit,,Studenten Weekabon vrij Reizen (2e klas),
10-10-2016,16:59,Amsterdam Centraal,,,,Check-in,,Studenten Weekabon vrij Reizen (2e klas),
10-10-2016,,Amsterdam Centraal,17:52,Alkmaar,,Check-uit,,Studenten Weekabon vrij Reizen (2e klas),
10-10-2016,18:06,Alkmaar Station,,,,Check-in,,Studenten Weekabon vrij Reizen (2e klas),
10-10-2016,,Alkmaar Station,18:26,Broek op Langedijk Laansloot,,Check-uit,,Studenten Weekabon vrij Reizen (2e klas),
11-10-2016,13:15,Broek op Langedijk Laansloot,,,,Check-in,,Studenten Weekabon vrij Reizen (2e klas),
11-10-2016,,Broek op Langedijk Laansloot,13:28,Alkmaar Station,,Check-uit,,Studenten Weekabon vrij Reizen (2e klas),
11-10-2016,13:29,Alkmaar,,,,Check-in,,Studenten Weekabon vrij Reizen (2e klas),
11-10-2016,,Alkmaar,14:18,Amsterdam Centraal,,Check-uit,,Studenten Weekabon vrij Reizen (2e klas),
11-10-2016,14:20,Centraal Station,,,,Check-in,,Studenten Weekabon vrij Reizen (2e klas),
11-10-2016,,Centraal Station,14:27,Wibautstraat,,Check-uit,,Studenten Weekabon vrij Reizen (2e klas),
11-10-2016,15:55,Weesperplein,,,,Check-in,,Studenten Weekabon vrij Reizen (2e klas),
11-10-2016,,Weesperplein,16:02,Centraal Station,,Check-uit,,Studenten Weekabon vrij Reizen (2e klas),
11-10-2016,16:04,Amsterdam Centraal,,,,Check-in,,Studenten Weekabon vrij Reizen (2e klas),
11-10-2016,,Amsterdam Centraal,16:47,Alkmaar,,Check-uit,,Studenten Weekabon vrij Reizen (2e klas),
11-10-2016,16:56,Alkmaar Station,,,,Check-in,,Studenten Weekabon vrij Reizen (2e klas),
11-10-2016,,Alkmaar Station,17:09,Broek op Langedijk Laansloot,,Check-uit,,Studenten Weekabon vrij Reizen (2e klas),
